UserName;AlarmDetail;SystemDate;Company;ActivityDescription;Severity
rsayin;Alert Description: KT Yakut Kritik Objeler | Alert ID: 586998 | DB User Name: \ user146;23.09.2025 12:38;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
appuser;ATLAS Kritik Objeler;1.04.2025 18:21;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
appuser;ATLAS Kritik Objeler;27.06.2025 12:14;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;ATLAS Kritik Objeler;31.05.2026 17:01;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
rsayin;Alert Description: Trigger Activities - All Database | Alert ID: 559145 | DB User Name: \ user207;24.05.2026 04:23;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
admin37;DENIZ Kritik Objeler;2.06.2025 14:35;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
keskinme;Alert Description: KT Yakut Kritik Objeler | Alert ID: 539899 | DB User Name: \ user480;10.10.2026 12:26;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;DENIZ Kritik Objeler;9.02.2025 09:16;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
scakici;Alert Description: KT Yakut Kritik Objeler | Alert ID: 552243 | DB User Name: \ user426;12.04.2025 06:40;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
admin23;Alert Description: Trigger Activities - All Database | Alert ID: 594396 | DB User Name: \ user222;12.09.2025 17:34;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
dbuser42;Alert Description: KT Yakut Kritik Objeler | Alert ID: 515693 | DB User Name: \ user434;19.11.2026 10:21;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
keskinme;DENIZ Kritik Objeler;28.03.2025 17:17;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
scakici;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user207;29.11.2025 06:00;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
appuser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user435;21.09.2025 14:07;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;Alert Description: Authorized User Changed | Alert ID: 595256 | DB User Name: \ user223;21.07.2026 23:56;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
appuser;DENIZ Kritik Objeler;28.09.2026 06:32;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
audituser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user475;17.09.2025 04:58;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user222;27.12.2026 12:59;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
keskinme;Alert Description: Authorized User Changed | Alert ID: 512494 | DB User Name: \ user143;27.04.2026 06:40;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
keskinme;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user186;8.06.2025 03:19;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;DENIZ Kritik Objeler;24.03.2025 15:54;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
tyilmaz;DENIZ Kritik Objeler;9.07.2025 17:41;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
scakici;Alert Description: Trigger Activities - All Database | Alert ID: 568556 | DB User Name: \ user266;25.10.2025 16:52;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
tyilmaz;Alert Description: Trigger Activities - All Database | Alert ID: 505429 | DB User Name: \ user202;2.05.2026 17:41;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;DENIZ Kritik Objeler;28.08.2025 00:08;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;SRVDNZ Kritik Objeler;24.11.2025 15:36;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
scakici;Alert Description: Trigger Activities - All Database | Alert ID: 539120 | DB User Name: \ user160;15.11.2026 14:27;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
dbuser31;SRVDNZ Kritik Objeler;1.01.2026 22:12;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
rsayin;ATLAS Kritik Objeler;10.10.2025 14:17;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
rsayin;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user264;20.08.2026 06:29;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;ATLAS Kritik Objeler;20.07.2026 15:44;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
keskinme;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user233;25.04.2025 19:55;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
keskinme;Alert Description: KT Yakut Kritik Objeler | Alert ID: 517964 | DB User Name: \ user205;1.12.2026 01:51;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
dbuser30;Alert Description: KT Yakut Kritik Objeler | Alert ID: 522987 | DB User Name: \ user402;27.07.2026 05:54;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
scakici;Alert Description: KT Yakut Kritik Objeler | Alert ID: 594009 | DB User Name: \ user43;15.04.2025 07:07;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
